,Sr.No,Received Date (DD MMM YYYY),Article title,Citation Details,Reference ID,DOI,Initial Reviewer Name,Initial Review Date,Abstract/Full Text Article (FTA),Article Classification,Initial Review Comment,Quality Reviewer Name,Quality Review Date,Quality Review Comment,Full Text Request Raised (Order ID),Translation Request Raised (Order ID),Article Priority,Country Of Incidence,Valid Drugs,Invalid Drugs,Suspected Events,No. of cases to be created,Allocation Sent,Case ID,Reference number for Aggregate report as applicable,Reference number for Signal report as applicable,Additional Comments (if any)
5199,,,Colchicine reduces the activation of NLRP3 inflammasome in COVID-19 patients,Inflamm Res. 2023 May;72(5):895-899. doi: 10.1007/s00011-023-01718-y. Epub 2023 Mar 14.,36917217,10.1007/s00011-023-01718-y,,,Full text,Rejected,No safety information,,,No Error,,,,Brazil,,,,,,,,,
5200,,,Real-life Data on the Effect of Medical Therapy for Amiodarone-induced Thyrotoxicosis on CV Events and Hospitalizations,J Clin Endocrinol Metab. 2023 May 17;108(6):1298-1307. doi: 10.1210/clinem/dgac756.,36585895,10.1210/clinem/dgac756,,,Abstract,Invalid,No MA IN COI_Amiodarone_induces thyrotoxicosis,,,No error,,,,Italy,,Amiodarone,Thyrotoxicosis,,,,,,
5201,,,Ketoprofen-Based Polymer-Drug Nanoparticles Provide Anti-Inflammatory Properties to HA/Collagen Hydrogels,J Funct Biomater. 2023 Mar 17;14(3):160. doi: 10.3390/jfb14030160.,36976084,10.3390/jfb14030160,,,Abstract,Rejected,Invitro/Invivo study_No safety information,,,No Error ,,,,Germany,,,,,,,,,
5202,,,Plasma Progerin in Patients With Hutchinson-Gilford Progeria Syndrome: Immunoassay Development and Clinical Evaluation,Circulation. 2023 Mar 15. doi: 10.1161/CIRCULATIONAHA.122.060002. Online ahead of print.,36919608,10.1161/CIRCULATIONAHA.122.060002,,,Full text,Rejected,No safety information_Invitro study,,,No Error,,,,United states,,,,,,,,,
5203,,,"Anti-tyrosinase and antimelanogenic effect of cinnamic acid derivatives from Prunus mahaleb L.: Phenolic composition, isolation, identification and inhibitory activity",J Ethnopharmacol. 2023 Jun 28;310:116378. doi: 10.1016/j.jep.2023.116378. Epub 2023 Mar 15.,36924865,10.1016/j.jep.2023.116378,,,Abstract,Rejected,No safety information_Invitro study ,,,No error,,,,Turkey,,,,,,,,,
5204,,,Effect of germinated and heat-moisture treated ancient wheat on some quality attributes and bioactive components of noodles,Food Chem. 2023 Mar 15;404(Pt A):134577. doi: 10.1016/j.foodchem.2022.134577. Epub 2022 Oct 12.,36257263,10.1016/j.foodchem.2022.134577,,,Abstract,Rejected,No safety information,,,No error,,,,Turkey,,,,,,,,,
5205,,,IgG4-related sclerosing thyroiditis (Riedel-Struma): a review of clinicopathological features and management,Virchows Arch. 2023 May 19. doi: 10.1007/s00428-023-03561-2. Online ahead of print.,37204493,10.1007/s00428-023-03561-2,,,Full Text,Rejected,No safety information,,,No error,,,,Poland,,,,,,,,,
5206,,,"Lipidomic, metabolomic, and behavior responses of zebrafish (Danio rerio) exposed to environmental levels of the beta blocker atenolol",Sci Total Environ. 2023 Mar 25;866:161272. doi: 10.1016/j.scitotenv.2022.161272. Epub 2022 Dec 30.,36587689,10.1016/j.scitotenv.2022.161272,,,Abstract,Invalid,"Animal study/environmental study_cardiac edema, decreased heart rate,altered lipid content_Atenolol",,,No Error,,,,United states,,Atenolol,"cardiac edema, decreased heart rate,altered lipid content",,,,,,
5207,,,Study of Modifications Induced by Continued Direct Oral Anticoagulant Therapy during Atrial Fibrillation Ablation Procedures on Standard Hemostasis Parameters,J Clin Med. 2023 Mar 14;12(6):2236. doi: 10.3390/jcm12062236.,36983237,10.3390/jcm12062236,,,Full text,Rejected,No safety information,,,No error,,,,France,,,,,,,,,
5208,,,Adherence to Triple Single-Pill Combination of Perindopril/Indapamide/Amlodipine: Findings from Real-World Analysis in Italy,Adv Ther. 2023 Apr;40(4):1765-1772. doi: 10.1007/s12325-023-02451-y. Epub 2023 Feb 24.,36829102,10.1007/s12325-023-02451-y,,,Full Text,Invalid,"No MA in COI_Indapamide, Amlodipine�_Adverse events NOS",,,No Error,,,,India,,"Indapamide, Amlodipine�",Adverse events NOS,,,,,,
5209,,,CYP2C19 Loss-of-Function Variants Associated with Long-term Ischemic Stroke Events During Clopidogrel Treatment in the Chinese Population,Clin Pharmacol Ther. 2023 Aug 22. doi: 10.1002/cpt.3028. Online ahead of print.,37607302,10.1002/cpt.3028,,,Abstract ,Invalid,No MA in COI_Clopidogrel_Ischemic stroke,,,No error,,,,China,,Clopidogrel,Ischemic stroke,,,,,,
5210,,,A Multi-Omic Mosaic Model of Acetaminophen Induced Alanine Aminotransferase Elevation,J Med Toxicol. 2023 May 25:1-7. doi: 10.1007/s13181-023-00951-5. Online ahead of print.,37231244,10.1007/s13181-023-00951-5,,,Full Text,Invalid,No MA in COI_Paracetamol_ALT elevation,,,No error,,,,United States,,Paracetamol,ALT elevation,,,,,,
5211,,,Neuroethology: Perceived danger inhibits the wanting system of bees,Curr Biol. 2023 May 22;33(10):R407-R410. doi: 10.1016/j.cub.2023.04.006.,37220733,10.1016/j.cub.2023.04.006,,,Abstract,Rejected,No safety information_Animal study,,,No error ,,,,France,,,,,,,,,
5212,,,Oxazolidinones as versatile scaffolds in medicinal chemistry,RSC Med Chem. 2023 Feb 8;14(5):823-847. doi: 10.1039/d2md00415a. eCollection 2023 May 25.,37252095,10.1039/d2md00415a,,,Full Text,Rejected,No safety information_Review article,,,No error ,,,,United Kingdom,,,,,,,,,
5213,,,Detecting uric acid base on the dual inner filter effect using BSA@Au nanoclusters as both peroxidase mimics and fluorescent reporters,Spectrochim Acta A Mol Biomol Spectrosc. 2023 May 15;293:122504. doi: 10.1016/j.saa.2023.122504. Epub 2023 Feb 15.,36801742,10.1016/j.saa.2023.122504,,,Abstract,Rejected,No safety information,,,No error ,,,,China,,,,,,,,,
5214,,,Intravenous paracetamol for persistent pain after endoscopic mucosal resection discriminates patients at risk of adverse events and those who can be safely discharged,Endoscopy. 2023 Jul;55(7):611-619. doi: 10.1055/a-2022-6530. Epub 2023 Jan 30.,36716781,10.1055/a-2022-6530,,,Full Text,Invalid,"No MA in COI_Paracetamol_nausea, vomiting, sedation",,,No error,,,,Australia,,Paracetamol,"nausea, vomiting, sedation",,,,,,
5215,,,Ternary V-Scheme Ag(2)WO(4)/BaO/NiO Heterojunction Photocatalysts: Very Fast Degradation Process for Congo Red under UV-Light Irradiation,ACS Omega. 2023 Feb 28;8(10):9423-9433. doi: 10.1021/acsomega.2c08090. eCollection 2023 Mar 14.,36936279,10.1021/acsomega.2c08090,,,Abstract,Rejected,No safety information_Invitro/Environmental study,,,No error,,,,Turkey,,,,,,,,,
5216,,,Identification of phytochemicals and assessment of hypoglycemic and haematological potentials of Terminalia catappa Linn leaf extract in alloxan-induced diabetic Wistar rats,Cardiovasc Hematol Agents Med Chem. 2023 May 26. doi: 10.2174/1871525721666230526152917. Online ahead of print.,37246326,10.2174/1871525721666230526152917,,,Abstract,Rejected,No safety information_Invitro/Animal study,,,No Error,,,,Nigeria,,,,,,,,,
5217,,,Correction to: Colchicine in the Management of Acute Coronary Syndrome: A Meta-analysis,Cardiol Ther. 2023 Jul 6. doi: 10.1007/s40119-023-00324-7. Online ahead of print.,37410319,10.1007/s40119-023-00324-7,,,Full text,Invalid,"Meta-analysis_Colchicine_resuscitated cardiac arrest,myocardial infarction,cerebrovascular accident,repeat evascularization",,,No error,,,,Australia,,Colchicine,"resuscitated cardiac arrest,myocardial infarction,cerebrovascular accident,repeat evascularization",,,,,,
5218,,,Characterization and shelf stability of sweetened condensed milk formulated with different sucrose substitutes during storage,Food Chem. 2023 Mar 15;404(Pt A):134402. doi: 10.1016/j.foodchem.2022.134402. Epub 2022 Sep 26.,36257265,10.1016/j.foodchem.2022.134402,,,Abstract,Rejected,No safety information,,,No error,,,,China,,,,,,,,,
5219,,,Codoping g-C(3)N(4) with boron and graphene quantum dots: Enhancement of charge transfer for ultrasensitive and selective photoelectrochemical detection of dopamine,Biosens Bioelectron. 2023 Mar 15;224:115050. doi: 10.1016/j.bios.2022.115050. Epub 2022 Dec 31.,36603286,10.1016/j.bios.2022.115050,,,Abstract,Rejected,No safety information_ Invitro study ,,,No error ,,,,China,,,,,,,,,
5220,,,"Entinostat, a class I selective histone deacetylase inhibitor, plus exemestane for Chinese patients with hormone receptor-positive advanced breast cancer: A multicenter, randomized, double-blind, placebo-controlled, phase 3 trial",Acta Pharm Sin B. 2023 May;13(5):2250-2258. doi: 10.1016/j.apsb.2023.02.001. Epub 2023 Feb 9.,37250148,10.1016/j.apsb.2023.02.001,,,Full text,Invalid,"No patient-product-event correlation_Thrombocytopenia,Neutropenia,Fatigue,Anemia etc..,( Refer Table 3)",,,No Error,,,,China,,Exemestane,"Thrombocytopenia,Neutropenia,Fatigue,Anemia etc..,( Refer Table 3)",,,,,,
5221,,,Biopsychosocial factors associated with pain severity and hand disability in trapeziometacarpal osteoarthritis and non-surgical management,J Hand Ther. 2023 Mar 12:S0894-1130(22)00097-7. doi: 10.1016/j.jht.2022.10.001. Online ahead of print.,36918308,10.1016/j.jht.2022.10.001,,,Abstract,Rejected,No safety information,,,No error ,,,,Canada,,,,,,,,,
5222,,,XENERA-1: a randomised double-blind Phase II trial of xentuzumab in combination with everolimus and exemestane versus everolimus and exemestane in patients with hormone receptor-positive/HER2-negative metastatic breast cancer and non-visceral disease,Breast Cancer Res. 2023 Jun 12;25(1):67. doi: 10.1186/s13058-023-01649-w.,37308971,10.1186/s13058-023-01649-w,,,Full text,Invalid,"Multi centre study_Exemestane_Diarrhoea, Fatigue(Ref:Table 2)",,,No error,,,,United kingdom,,Exemestane,"Diarrhoea, Fatigue",,,,,,
5223,,,Bilateral Wunderlich syndrome causing Page kidney during pregnancy: a rare case report,Ann Med Surg (Lond). 2023 Jul 8;85(8):4157-4160. doi: 10.1097/MS9.0000000000001062. eCollection 2023 Aug.,37554856,10.1097/MS9.0000000000001062,,,Full text,Invalid,No MA in COI_Methyldopa_DEDP,,,No error,,,,Syria,,Methyldopa,DEDP,,,,,,
5224,,,Repurposing of drugs against methyltransferase as potential Zika virus therapies,Sci Rep. 2023 May 15;13(1):7870. doi: 10.1038/s41598-023-33341-6.,37188743,10.1038/s41598-023-33341-6,,,Full Text,Rejected,No safety information_In silico study,,,No error ,,,,India,,,,,,,,,
5225,,,Prevalence and Safety of Prescribing PPIs with Clopidogrel in Palestine,Patient Prefer Adherence. 2023 Mar 20;17:749-759. doi: 10.2147/PPA.S404139. eCollection 2023.,36970301,10.2147/PPA.S404139,,,Full text,Invalid,No patient-product-event correlation_Cardiovascular events,,,No Error,,,,Palestine,,"Pantoprazole,esmoprazole,clopidogrel,lansoprazole",Cardiovascular events,,,,,,
5226,,,"Effect of CYB2B6 (c.516G>T), CYP2C9 (c.1075A>C) and UGT1A9 (c.98T>C) polymorphisms on propofol pharmacokinetics in patients submitted to colonoscopy: a cohort study",Postgrad Med J. 2023 May 22;99(1170):286-295. doi: 10.1136/postgradmedj-2021-141375.,37227973,10.1136/postgradmedj-2021-141375,,,Abstract,Rejected,No safety information,,,No error,,,,Brazil,,,,,,,,,
5227,,,Perturbation of maternal gut microbiota in mice during a critical perinatal window influences early neurobehavioral outcomes in offspring,Neuropharmacology. 2023 May 15;229:109479. doi: 10.1016/j.neuropharm.2023.109479. Epub 2023 Mar 2.,36870672,10.1016/j.neuropharm.2023.109479,,,Abstract,Invalid,"Animal study_altered pattern of ultrasonic communication, reduced social motivation and social interaction, context-dependent anxiety-like behavior(neurobehavioural changes)_ampicillin",,,No error ,,,,France,,ampicillin,"altered pattern of ultrasonic communication, reduced social motivation and social interaction, context-dependent anxiety-like behaviour",,,,,,
5228,,,Epigenetic-Based Regulation of Transcriptome in Escherichia coli Adaptive Antibiotic Resistance,Microbiol Spectr. 2023 May 15:e0458322. doi: 10.1128/spectrum.04583-22. Online ahead of print.,37184386,10.1128/spectrum.04583-22,,,Full text,Rejected,No safety information_Invitro study,,,No error ,,,,Italy,,,,,,,,,
5229,,,Pantoprazole-induced Thrombocytopenia: Unresponsive to Corticosteroid and Thrombocyte Concentrate Transfusion,J Pharm Pract. 2023 Jun;36(3):711-715. doi: 10.1177/08971900211064715. Epub 2021 Dec 29.,34965162,10.1177/08971900211064715,,,Full text,Invalid,No MA in COI_Pantoprazole_Thrombocytopenia,,,No error,,,,Indonesia,,Pantoprazole,Thrombocytopenia,,,,,,
5230,,,Preconception use of antibiotics and fecundability: a Danish prospective cohort study,Fertil Steril. 2023 Apr 26:S0015-0282(23)00315-1. doi: 10.1016/j.fertnstert.2023.04.030. Online ahead of print.,37116639,10.1016/j.fertnstert.2023.04.030,,,Full Text,Invalid,Safety from secondary source/Animal study_Amoxicillin_Decreased Fertility,,,No Error,,,,Denmark,,Amoxicillin,Decreased Fertility,,,,,,
5231,,,PM2.5 mediates mouse testis Sertoli TM4 cell damage by reducing cellular NAD(),Toxicol Mech Methods. 2023 May 18:1-24. doi: 10.1080/15376516.2023.2215862. Online ahead of print.,37202861,10.1080/15376516.2023.2215862,,,Abstract ,Rejected,No safety information_Animal study,,,No error,,,,China,,,,,,,,,
5232,,,Enzyme-Triggered Chemodynamic Therapy via a Peptide-H(2) S Donor Conjugate with Complexed Fe(2),Angew Chem Int Ed Engl. 2023 May 22;62(22):e202302303. doi: 10.1002/anie.202302303. Epub 2023 Apr 20.,37078735,10.1002/anie.202302303,,,Full text,Rejected,No safety information,,,No error,,,,United states,,,,,,,,,
5233,,,"The Effect of Quinolones on Common Duckweed Lemna minor L., a Hydrophyte Bioindicator of Environmental Pollution",Int J Environ Res Public Health. 2023 Mar 14;20(6):5089. doi: 10.3390/ijerph20065089.,36981998,10.3390/ijerph20065089,,,Abstract,Rejected,Environmental study_No safety information,,,No Error,,,,Poland,,,,,,,,,
5234,,,A novel core-shell composite of PCN-222@MIPIL for ultrasensitive electrochemical sensing 4-nonylphenol,Environ Res. 2023 May 15;225:115499. doi: 10.1016/j.envres.2023.115499. Epub 2023 Feb 26.,36848978,10.1016/j.envres.2023.115499,,,Abstract ,Rejected,No safety informtion_In vitro study,,,No error,,,,China,,,,,,,,,
5235,,,Prescribing of valproate and oral antiepileptics for women of childbearing age and during pregnancy in Germany between 2010 and 2020,Pharmacoepidemiol Drug Saf. 2023 Jul 23. doi: 10.1002/pds.5670. Online ahead of print.,37485793,10.1002/pds.5670,,,Full Text,Invalid,No MA in COI_Sodium Valproate_DEDP,,,No error,,,,Germany,,Sodium Valproate,DEDP,,,,,,
5236,,,Amoxicillin-associated Stevens-Johnson syndrome or toxic epidermal necrolysis: systematic review,J Chemother. 2023 Apr;35(2):75-86. doi: 10.1080/1120009X.2022.2051128. Epub 2022 Mar 14.,35285784,10.1080/1120009X.2022.2051128,,,Abstract,Invalid,Systematic review article_Amoxicillin-induced Stevens-Johnson syndrome or toxic epidermal necrolysis from primary references_Amoxicillin,,,No error,,,,Serbia,,Amoxicillin,Stevens-Johnson syndrome or toxic epidermal necrolysis,,,,,,
5237,,,Comparison between ticagrelor and clopidogrel in myocardial infarction patients with high bleeding risk- A report from the SWEDEHEART registry,Eur Heart J Cardiovasc Pharmacother. 2023 Jun 1:pvad041. doi: 10.1093/ehjcvp/pvad041. Online ahead of print.,37263787,10.1093/ehjcvp/pvad041,,,Full Text ,Invalid,No MA in COI_Clopidogrel_Bleeding,,,No error,,,,Sweden,,Clopidogrel,Bleeding,,,,,,
5238,,,Prevalence and predictors of left atrial thrombosis in atrial fibrillation patients treated with non-vitamin K antagonist oral anticoagulants,Acta Cardiol. 2023 May;78(3):290-297. doi: 10.1080/00015385.2021.2005307. Epub 2021 Nov 25.,34821203,10.1080/00015385.2021.2005307,,,Abstract,Invalid,No MA in COI_Rivaroxaban_(left atrium)LA/LA appendage (LAA) thrombi,,,No error,,,,Italy,,Rivaroxaban,(left atrium)LA/LA appendage (LAA) thrombi,,,,,,
5239,,,Fucoidan promotes angiogenesis and accelerates wound healing through AKT/Nrf2/HIF-1? signalling pathway,Int Wound J. 2023 May 18. doi: 10.1111/iwj.14239. Online ahead of print.,37203309,10.1111/iwj.14239,,,Abstract,Rejected,Invitro study_No safety information,,,No Error,,,,China,,,,,,,,,
5240,,,Single beta-blocker or combined amiodarone therapy in implantable cardioverter-defibrillator and cardiac resynchronization therapy-defibrillator patients: Insights from the German DEVICE registry,Heart Rhythm. 2023 Apr;20(4):501-509. doi: 10.1016/j.hrthm.2022.12.009. Epub 2022 Dec 10.,36509321,10.1016/j.hrthm.2022.12.009,,,Abstract,Invalid,No MA in COI_Amiodarone_All-cause mortality ,,,No error,,,,Germany,,Amiodarone,All-cause mortality ,,,,,,
5241,,,Direct conversion of lignin to functionalized diaryl ethers via oxidative cross-coupling,Nat Commun. 2023 May 22;14(1):2830. doi: 10.1038/s41467-023-38534-1.,37217549,10.1038/s41467-023-38534-1,,,Abstract,Rejected,No safety information,,,No error ,,,,Switzerland,,,,,,,,,
5242,,,Bifunctional electrode of bismuth tungsten for electrochemical sensing applications,Chemosphere. 2023 May 22;334:139014. doi: 10.1016/j.chemosphere.2023.139014. Online ahead of print.,37224979,10.1016/j.chemosphere.2023.139014,,,Abstract,Rejected,No safety information,,,No error ,,,,Saudi Arabia,,,,,,,,,
5243,,,Association of Dapagliflozin vs Placebo With Individual Kansas City Cardiomyopathy Questionnaire Components in Patients With Heart Failure With Mildly Reduced or Preserved Ejection Fraction: A Secondary Analysis of the DELIVER Trial,JAMA Cardiol. 2023 May 20:e231342. doi: 10.1001/jamacardio.2023.1342. Online ahead of print.,37208998,10.1001/jamacardio.2023.1342,,,Full text,Rejected,No safety information,,,No error,,,,United States,,,,,,,,,
5244,,,Microfluidic Gradient Culture Arrays for Cell Pro-oxidation Analysis Using Bipolar Electrochemiluminescence,Anal Chem. 2023 May 15. doi: 10.1021/acs.analchem.3c01123. Online ahead of print.,37184375,10.1021/acs.analchem.3c01123,,,Abstract,Rejected,No safety information_In vitro study,,,No error ,,,,China,,,,,,,,,
5245,,,Efficacy and Safety of Five Broad-Spectrum Antiseizure Medications for Adjunctive Treatment of Refractory Epilepsy: A Systematic Review and Network Meta-analysis,CNS Drugs. 2023 Aug 17. doi: 10.1007/s40263-023-01029-0. Online ahead of print.,37589821,10.1007/s40263-023-01029-0,,,Abstract,Invalid,"Systematic Review and Meta-analysis_levetiracetam, topiramate_Adverse effectsNos",,,No error,,,,China,,"levetiracetam, topiramate",Adverse effectsNos,,,,,,
5246,,,Pharmacokinetics of intranasal amiloride in healthy volunteers,Clin Transl Sci. 2023 Mar 17. doi: 10.1111/cts.13514. Online ahead of print.,36932683,10.1111/cts.13514,,,Full text,Invalid,No MA in COI_Amiloride_Adverse event (NOS),,,No Error,,,,United States,,Amiloride,Adverse event (NOS),,,,,,
5247,,,A phase I trial of caffeine to evaluate safety in infants with hypoxic-ischemic encephalopathy,J Perinatol. 2023 Aug 16. doi: 10.1038/s41372-023-01752-y. Online ahead of print.,37587184,10.1038/s41372-023-01752-y,,,Abstract,Invalid,No MA in COI_Caffeine_Adverse effectsNOS,,,No error,,,,United States,,Caffeine,Adverse effectsNOS,,,,,,
5248,,,Facile and controllable preparation of carbon microsphere for electro-driven nitrogen reduction: Accommodating nitrogen doping with hierarchical porous structure,J Colloid Interface Sci. 2023 Mar 15;634:995-1004. doi: 10.1016/j.jcis.2022.12.105. Epub 2022 Dec 21.,36571861,10.1016/j.jcis.2022.12.105,,,Abstract,Rejected,No safety information,,,No error,,,,China,,,,,,,,,
5249,,,Differential effect of cannabis use on opioid agonist treatment outcomes: Exploratory analyses from the OPTIMA study,J Subst Use Addict Treat. 2023 Jun;149:209031. doi: 10.1016/j.josat.2023.209031. Epub 2023 Mar 30.,37003540,10.1016/j.josat.2023.209031,,,Full text,Invalid,No MA in COI_Methadone_AE-NOS,,,No error,,,,Canada,,Methadone,AE-NOS,,,,,,
5250,,,Exploring the Association between Low-dose Aspirin Intake and Hyperuricemia in Individuals over 40: A Cross-Sectional Study using NHANES Data (2011-2018),Med Sci Monit. 2023 Jun 7;29:e939546. doi: 10.12659/MSM.939546.,37282368,10.12659/MSM.939546,,,Abstract,Invalid,No MA in COI_Aspirin_Hyperuricemia,,,No Error,,,,China,,Aspirin,Hyperuricemia,,,,,,
5251,,,Fed intestinal solubility limits and distributions applied to the Developability classification system,Eur J Pharm Biopharm. 2023 May;186:74-84. doi: 10.1016/j.ejpb.2023.03.005. Epub 2023 Mar 17.,36934829,10.1016/j.ejpb.2023.03.005,,,Abstract,Rejected,No safety information-In vitro and in vivo,,,No error,,,,United Kingdom,,,,,,,,,
5252,,,Alkali-Etched Imprinted Mn-Based Prussian Blue Analogues with Superior Oxidase-Mimetic Activity and Precise Recognition for Tetracycline Colorimetric Sensing,ACS Appl Mater Interfaces. 2023 May 24;15(20):24736-24746. doi: 10.1021/acsami.3c02207. Epub 2023 May 10.,37163688,10.1021/acsami.3c02207,,,Abstract,Rejected,No safety information_In vitro study,,,No error,,,,China,,,,,,,,,
5253,,,A label-free ThT-assisted fluorescence detection strategy of alkaline phosphatase activity based on MnO(2) nanosheets,Spectrochim Acta A Mol Biomol Spectrosc. 2023 May 15;293:122487. doi: 10.1016/j.saa.2023.122487. Epub 2023 Feb 11.,36812755,10.1016/j.saa.2023.122487,,,Abstract,Rejected,No safety information,,,No error ,,,,china,,,,,,,,,
5254,,,Degradable Temperature-Sensitive Hydrogel Loaded with Heparin Effectively Prevents Post-Operative Tissue Adhesions,ACS Biomater Sci Eng. 2023 May 14. doi: 10.1021/acsbiomaterials.3c00017. Online ahead of print.,37179492,10.1021/acsbiomaterials.3c00017,,,Abstract,Rejected,No safety information,,,No error ,,,,China,,,,,,,,,
5255,,,"Utilization of Rosuvastatin and Endogenous Biomarkers in Evaluating the Impact of Ritlecitinib on BCRP, OATP1B1, and OAT3 Transporter Activity",Pharm Res. 2023 Aug 10. doi: 10.1007/s11095-023-03564-3. Online ahead of print.,37561322,10.1007/s11095-023-03564-3,,,Abstract,Invalid,In vitro study_rosuvastatin_Drug-drug Interaction,,,No error,,,,United States,,rosuvastatin,Drug-drug Interaction,,,,,,
5256,,,Triamcinolone,2023 Mar 15. Drugs and Lactation Database (LactMed�) [Internet]. Bethesda (MD): National Institute of Child Health and Human Development; 2006�.,30000183,,,,Abstract,Rejected,No safety information,,,No error,,,,United States,,,,,,,,,
5257,,,Nutritional Status and Frailty Improvement through Senior-Friendly Diet among Community-Dwelling Older Adults in South Korea,Nutrients. 2023 Mar 13;15(6):1381. doi: 10.3390/nu15061381.,36986111,10.3390/nu15061381,,,full text,Rejected,No safety information,,,No Error ,,,,South Korea,,,,,,,,,
5258,,,Hydrochlorothiazide use and risk of keratinocyte carcinoma and melanoma: A multi-site population-based cohort study,J Am Acad Dermatol. 2023 Apr 25:S0190-9622(23)00735-1. doi: 10.1016/j.jaad.2023.04.035. Online ahead of print.,37105517,10.1016/j.jaad.2023.04.035,,,Abstract,Invalid,Ruled out based on non-company combinational product ( company combination-Hydrochlorothiazide is in combination with other drugs; Non-company product- hydrochlorothiazide monotherapy)_increased risk of keratinocyte carcinoma.,,,No error,,,,Canada,,Hydrochlorothiazide,increased risk of keratinocyte carcinoma.,,,,,,
5259,,,ORal anticoaGulants in diAbetic and Nondiabetic patients with nOn-valvular atrial fibrillatioN (ORGANON),J Diabetes Complications. 2023 Aug;37(8):108512. doi: 10.1016/j.jdiacomp.2023.108512. Epub 2023 May 20.,37390799,10.1016/j.jdiacomp.2023.108512,,,Abstract,Invalid,No MA in COI_rivaroxaban_Bleeding,,,No error,,,,Italy,,Rivaroxaban,Bleeding,,,,,,
5260,,,Comparison of gastrointestinal adverse events between fast release tablets and regular acetylsalicylic acid (aspirin) galenics after short-term use: a meta-analysis of randomized clinical trials,Inflammopharmacology. 2023 Aug 21. doi: 10.1007/s10787-023-01264-3. Online ahead of print.,37603157,10.1007/s10787-023-01264-3,,,Abstract,Invalid,Meta-analysis_Aspirin_Drug-related all AEs,,,No error,,,,Spain,,Aspirin,Drug-related all AEs,,,,,,
5261,,,Efficacy and tolerance of second-generation antipsychotics in anorexia nervosa: A systematic scoping review,PLoS One. 2023 Mar 16;18(3):e0278189. doi: 10.1371/journal.pone.0278189. eCollection 2023.,36928656,10.1371/journal.pone.0278189,,,Full Text,Invalid,"A systematic scoping review_Olanzapine_Weight gain, sedation, cardiac side effects (QT prolongation, extrapyramidal sysmptoms), dry mouth, vertigo, insomnia, fatique, muscle pain, gastrointestinal problems, headaches, galactorrhea_Aripiprazole_weight gain_Quetiapine_Fatique, sedation, orthostatic vertigo",,,No error,,,,France,,"Olanzapine, Aripiprazole, Quetiapine","sedation, weight gain, vertigo, galactorrhea, insomnia, fatique,muscle pain,headaches, gastrointestinal problems,cardiac side effects (QT prolongation, extrapyramidal sysmptoms), dry mouth,orthostatic vertigo",,,,,,
5262,,,A Microstirring Oral Pill for Improving the Glucose-Lowering Effect of Metformin,ACS Nano. 2023 May 23;17(10):9272-9279. doi: 10.1021/acsnano.3c00581. Epub 2023 May 12.,37172134,10.1021/acsnano.3c00581,,,Abstract ,Rejected,No safety information_In Vivo/Animal/In Vitro study,,,No error,,,,United states,,,NA ,,,,,,
5263,,,Evaluation and classification of fentanyl-related compounds using EC-SERS and machine learning,J Forensic Sci. 2023 May 22. doi: 10.1111/1556-4029.15285. Online ahead of print.,37212602,10.1111/1556-4029.15285,,,Abstract,Rejected,No safety information_In Vitro study,,,No error ,,,,United states,,,,,,,,,
5264,,,A standardized anesthetic/analgetic regimen compared to standard anesthetic/analgetic regimen for patients with high-risk factors undergoing open lumbar spine surgery: a prospective comparative single-center study,Neurosurg Rev. 2023 Apr 24;46(1):95. doi: 10.1007/s10143-023-02005-4.,37093302,10.1007/s10143-023-02005-4,,,Abstract,Invalid,No Patient-Product-event correlation_Adverse events(NOS)_Fentanyl,,,No error,,,,Russia,,Fentanyl,Adverse events(NOS),,,,,,
5265,,,?-Aminobutyric acid treatment induced chilling tolerance in postharvest kiwifruit (Actinidia chinensis cv. Hongyang) via regulating ascorbic acid metabolism,Food Chem. 2023 Mar 15;404(Pt B):134661. doi: 10.1016/j.foodchem.2022.134661. Epub 2022 Oct 19.,36283321,10.1016/j.foodchem.2022.134661,,,Abstract,Rejected,No safety information,,,No error ,,,,China,,,,,,,,,
5266,,,Copper(II) complex enhanced chemodynamic therapy through GSH depletion and autophagy flow blockade,Dalton Trans. 2023 Mar 14;52(11):3287-3294. doi: 10.1039/d2dt04108a.,36691961,10.1039/d2dt04108a,,,Abstract,Rejected,No safety information,,,No Error,,,,China,,,,,,,,,
5267,,,Solriamfetol improves chronic sleep fragmentation-induced increases in sleep propensity and ameliorates explicit memory in male mice,Sleep. 2023 May 10;46(5):zsad057. doi: 10.1093/sleep/zsad057.,36866452,10.1093/sleep/zsad057,,,Abstract,Invalid,Animal study_modafinil_Increased anxiety behaviors,,,No error,,,,United States,,modafinil,Increased anxiety behaviors,,,,,,
5268,,,Metabolic heterogeneity in TNBCs: A potential determinant of therapeutic efficacy of 2-deoxyglucose and metformin combinatory therapy,Biomed Pharmacother. 2023 May 22;164:114911. doi: 10.1016/j.biopha.2023.114911. Online ahead of print.,37224753,10.1016/j.biopha.2023.114911,,,Abstract,Rejected,No safety information_Invitro study,,,No error,,,,Qatar,,,,,,,,,
5269,,,Acidity-responsive nanoplatforms aggravate tumor hypoxia via multiple pathways for amplified chemotherapy,Biomaterials. 2023 May;296:122094. doi: 10.1016/j.biomaterials.2023.122094. Epub 2023 Mar 15.,36933458,10.1016/j.biomaterials.2023.122094,,,Abstract,Rejected,No safety informtion_Invivo study,,,No error,,,,China,,,,,,,,,
